challenging_name,challenged_name
"Castillo, Ernesto","Baeza, Florencio"
"Araya, Manuel","Bolli, Carlos"
"Valdes, Mario","Pérez, Amador"
"Ortiz, Rafael","Araya, Manuel"
"Valdes, Mario","Gallardo, Pedro"
"Silva, Carlos","Iñiguez, Mario"
"Flores, Sara","Farrafino, Clementina"
"Huerta, Francisco","Giaverini, Oscar"
"Huerta, Francisco","Giaverini, Oscar"
"Tapia, Julio","Inostroza, Ruperto"
"Alley, Juan","Salinas, Juan"
"Olguín, Humberto",Valdenegro
"Olguín, Humberto",Henriquez
"Olguín, Humberto",Leiva
"Acosta, Luis J.","Molina, Erasmo"
"Acosta, Luis J.","Parra, Routier"
"Rios, Agustin","Arratia, Jose"
"Caldera, Francisco","Anguita, Oscar"
"Caldera, Francisco","Giaverini, Oscar"
"Guerrero, Angel","Lasseube, Enrique"
"Gonzalez, Johnston","Suarez, Pablo"
"Gonzalez, Johnston","Correa, Luis"
"Gonzalez, Johnston","Cipry, John"
"Gonzalez, Johnston","Saavedra, Clemente"
"Villablanca, Luis","Jaña, Andres"
"Villablanca, Luis","Meza, Fernando"
"García, Francisco","Valdivieso, Raul"
"Guerra, Oscar","Martinez, Alejandro"
"Araya, Jorge","Mery, Oscar"
"Tapia, Manuel","Ibarra, Daniel"
"Fajardo, Ruperto","Iglesias, Alvaro"
"Vargas, Armando","Rojas, Nicanor"
"Amparán, Miguel","Mendez, Arturo"
"Barros, Rogelio","Trias, Alfonso"
"Ibarra, Carlos","Astorga, Raul"
"Ibarra, Carlos","Sandoval, Luis"
"Avendaño, Manuel","Inostroza, Lupercio"
"Salinas, Luis","Lasseube, Enrique"
