,node,name
0,865,"Castillo, Ernesto"
1,836,"Baeza, Florencio"
2,882,"Araya, Manuel"
3,780,"Bolli, Carlos"
4,833,"Valdes, Mario"
5,272,"Pérez, Amador"
6,976,"Ortiz, Rafael"
7,827,"Gallardo, Pedro"
8,189,"Silva, Carlos"
9,987,"Iñiguez, Mario"
10,302,"Flores, Sara"
11,303,"Farrafino, Clementina"
12,891,"Huerta, Francisco"
13,573,"Giaverini, Oscar"
14,158,"Tapia, Julio"
15,1001,"Inostroza, Ruperto"
16,1003,"Alley, Juan"
17,321,"Salinas, Juan"
18,647,"Olguín, Humberto"
19,423,Valdenegro
20,1006,Henriquez
21,1008,Leiva
22,332,"Acosta, Luis J."
23,1010,"Molina, Erasmo"
24,1012,"Parra, Routier"
25,502,"Rios, Agustin"
26,1014,"Arratia, Jose"
27,143,"Caldera, Francisco"
28,572,"Anguita, Oscar"
29,77,"Guerrero, Angel"
30,146,"Lasseube, Enrique"
31,639,"Gonzalez, Johnston"
32,1021,"Suarez, Pablo"
33,735,"Correa, Luis"
34,1024,"Cipry, John"
35,1026,"Saavedra, Clemente"
36,732,"Villablanca, Luis"
37,223,"Jaña, Andres"
38,733,"Meza, Fernando"
39,163,"García, Francisco"
40,1031,"Valdivieso, Raul"
41,162,"Guerra, Oscar"
42,1035,"Martinez, Alejandro"
43,175,"Araya, Jorge"
44,98,"Mery, Oscar"
45,174,"Tapia, Manuel"
46,1038,"Ibarra, Daniel"
47,177,"Fajardo, Ruperto"
48,1040,"Iglesias, Alvaro"
49,178,"Vargas, Armando"
50,126,"Rojas, Nicanor"
51,185,"Amparán, Miguel"
52,1043,"Mendez, Arturo"
53,933,"Barros, Rogelio"
54,934,"Trias, Alfonso"
55,935,"Ibarra, Carlos"
56,936,"Astorga, Raul"
57,1048,"Sandoval, Luis"
58,937,"Avendaño, Manuel"
59,938,"Inostroza, Lupercio"
60,939,"Salinas, Luis"
