'Club H-ID','Name / Title',Club
925,'Heriberto Rojas Boxing Club','Heriberto Rojas Boxing Club'
94,'Minsterio de Guerra','Minsterio de Guerra'
95,'Batallón de Telégrafos','Batallón de Telégrafos'
101,'Escuela de Caballería','Escuela de Cabalería'
102,'Girardi Boxing Club','Girardi Boxing Club'
121,'Condell Boxing Club','Condell Boxing Club'
154,'Internado Barros Arana B.C','Internado Barros Arana B.C'
180,'Rodolfo Jaramillo B.C.','Rodolfo Jaramillo B.C.'
179,'Centro Tallman','Centro Tallman'
183,'Centro Académico Talcahuano','Centro Académico Talcahuano'
227,'Santiago Wanderers Boxing Club','Santiago Wanderers Boxing Club'
55,'Murillo Reyes Boxing Club','Murillo Reyes'
286,'Vicente Salazar Boxing CLub',
290,'Rodolfo Nuñez Boxing Club',
270,'Centro de Box Asociación Deportiva Ferroviaria de la tercera zona.','Centro de Box Asociación Deportiva Ferroviaria de la tercera zona.'
317,'Enrique Mac Iver Boxing Club','Enrique Mac Iver Boxing Club'
323,'Santander Boxing Club','Santander Boxing Club'
326,'Esmeralda Boxing Club','Esmeralda Boxing Club'
329,'Centro Deportivo Compañía de Gas de Santiago','Centro Deportivo Compañía de Gas de Santiago - Taller de la Oficina Central'
334,'Centro Deportivo Medidores','Centro Deportivo Medidores'
471,'Maritano F.C','Maritano F.C'
472,'Luis Cousiño F.C.','Luis Cousiño F.C.'
506,'Quintin Romero Boxing Club','Quintin Romero Boxing Club'
490,'Cultural Académico','Cultural Académico'
473,'Deportivo Manuel Rodriguez','Deportivo Manuel Rodriguez'
488,'Centro Firpo','Centro Firpo'
547,'Centro James perry','Centro James perry'
596,'Luis Vicentini Boxing Club','Luis Vicentini Boxing Club'
606,'Centro Almirante Latorre','Centro Almirante Latorre'
612,'Club Ciclista Internacional','Club Ciclista Internacional'
662,'Estrella de America','Estrella de America'
697,'Morales Boxing Club','Morales Boxing Club'
695,'Club Athlético Gath y Chavez','Club Athlético Gath y Chavez'
730,'Carlos Van Buren Boxing Club','Carlos Van Buren Boxing Club'
750,'Pedro Martínez Hnos. Boxing Club','Pedro Martínez Hnos. Boxing Club'
787,'Rafael Franco Boxing Club','Rafael Franco Boxing Club'
792,'Vega Central Boxing Club','Vega Central Boxing Club'
821,'Centro Deportivo Refineria','Centro Deportivo Refineria'
871,'San Felipe Boxing Club','San Felipe Boxing Club'
845,'Juan Ferriere Boxing Club','Juan Ferrie Boxing Club'
895,'Benito Miranda Boxing Club','Benito Miranda Boxing Club'
1052,'San Eugenio Boxing Club','San Eugenio Boxing Club'
