challenge_id,challenge,source,source_year,challenging_id,challenging_name,club_id_challenging,rec_Title.2,challenged_id,challenged_name,club_id_challenger,rec_Title.1_right
969,"Castillo
Baeza",Semanario La Prensa. Los Andes,1928-03-02,865,"Castillo, Ernesto",,,836,"Baeza, Florencio",,
972,"Araya
Bolli",Semanario La Prensa. Los Andes,1928-04-05,882,"Araya, Manuel",845.0,Juan Ferriere Boxing Club,780,"Bolli, Carlos",750.0,Pedro Martínez Hnos. Boxing Club
975,"Valdes
Pérez",Semanario La Prensa. Los Andes,1928-04-08,833,"Valdes, Mario",,,272,"Pérez, Amador",,
978,"Ortiz
Araya",Semanario La Prensa. Los Andes,1928-04-08,976,"Ortiz, Rafael",,,882,"Araya, Manuel",845.0,Juan Ferriere Boxing Club
985,"Valdes
Gallardo",Semanario La Prensa. Los Andes,1928-04-29,833,"Valdes, Mario",,,827,"Gallardo, Pedro",,
986,"Silva
Iñiguez",Los Sports,1924-02-01,189,"Silva, Carlos",,,987,"Iñiguez, Mario",,
988,"Flores
Farrafino",Los Sports,1924-03-07,302,"Flores, Sara",,,303,"Farrafino, Clementina",,
993,"Huerta
Giaverini",Los Sports,1924-02-01,891,"Huerta, Francisco",,,573,"Giaverini, Oscar",,
994,"Huerta
Giaverini",Los Sports,1924-02-01,891,"Huerta, Francisco",,,573,"Giaverini, Oscar",,
1000,"Tapia
Inostroza",Los Sports,1924-03-07,158,"Tapia, Julio",,,1001,"Inostroza, Ruperto",,
1002,"Alley
Salinas",Los Sports,1924-03-07,1003,"Alley, Juan",,,321,"Salinas, Juan",,
1004,"Olguín
Valdenegro",Los Sports,1924-03-07,647,"Olguín, Humberto",,,423,Valdenegro,,
1005,"Olguín
Henriquez",Los Sports,1924-03-07,647,"Olguín, Humberto",,,1006,Henriquez,,
1007,"Olguín
Leiva",Los Sports,1924-03-07,647,"Olguín, Humberto",,,1008,Leiva,,
1009,"Acosta
Molina",Los Sports,1924-03-14,332,"Acosta, Luis J.",329.0,Centro Deportivo Compañía de Gas de Santiago,1010,"Molina, Erasmo",,
1011,"Acosta
Parra",Los Sports,1924-03-14,332,"Acosta, Luis J.",329.0,Centro Deportivo Compañía de Gas de Santiago,1012,"Parra, Routier",,
1013,"Rios
Arratia",Los Sports,1924-03-14,502,"Rios, Agustin",,,1014,"Arratia, Jose",,
1015,"Caldera
Anguita",Los Sports,1924-04-04,143,"Caldera, Francisco",,,572,"Anguita, Oscar",,
1017,"Caldera
Giaverini",Los Sports,1924-04-04,143,"Caldera, Francisco",,,573,"Giaverini, Oscar",,
1018,"Guerrero
Lasseube",Vicentini,1924-01-23,77,"Guerrero, Angel",,,146,"Lasseube, Enrique",,
1020,"Gonzalez
Suarez",Los Sports,1924-04-15,639,"Gonzalez, Johnston",,,1021,"Suarez, Pablo",,
1022,"Gonzalez
Correa",Los Sports,1924-04-15,639,"Gonzalez, Johnston",,,735,"Correa, Luis",,
1023,"Gonzalez
Cipry",Los Sports,1924-04-15,639,"Gonzalez, Johnston",,,1024,"Cipry, John",,
1025,"Gonzalez
Saavedra",Los Sports,1924-04-15,639,"Gonzalez, Johnston",,,1026,"Saavedra, Clemente",,
1027,"Villablanca
Jaña",Los Sports,1924-05-23,732,"Villablanca, Luis",,,223,"Jaña, Andres",,
1028,"Villablanca
Meza",Los Sports,1924-05-23,732,"Villablanca, Luis",,,733,"Meza, Fernando",,
1030,"García
Valdivieso",Los Sports,1924-01-25,163,"García, Francisco",,,1031,"Valdivieso, Raul",,
1034,"Guerra
Martinez",Los Sports,1924-01-25,162,"Guerra, Oscar",,,1035,"Martinez, Alejandro",,
1036,"Araya
Mery",Los Sports,1924-01-25,175,"Araya, Jorge",180.0,Rodolfo Jaramillo B.C.,98,"Mery, Oscar",95.0,Batallón de Telégrafos
1037,"Tapia
Ibarra",Los Sports,1924-01-25,174,"Tapia, Manuel",,,1038,"Ibarra, Daniel",,
1039,"Fajardo
Iglesias",Los Sports,1924-01-25,177,"Fajardo, Ruperto",179.0,Centro Tallman,1040,"Iglesias, Alvaro",,
1041,"Vargas
Rojas",Los Sports,1924-01-25,178,"Vargas, Armando",,,126,"Rojas, Nicanor",,
1042,"Amparán
Mendez",Los Sports,1924-01-25,185,"Amparán, Miguel",,,1043,"Mendez, Arturo",,
1045,"Barros
Trias",Vicentini,1924-01-23,933,"Barros, Rogelio",,,934,"Trias, Alfonso",,
1046,"Ibarra
Astorga",Vicentini,1924-01-23,935,"Ibarra, Carlos",,,936,"Astorga, Raul",,
1047,"Ibarra
Sandoval",Vicentini,1924-01-23,935,"Ibarra, Carlos",,,1048,"Sandoval, Luis",,
1049,"Avendaño
Inostroza",Vicentini,1924-01-23,937,"Avendaño, Manuel",,,938,"Inostroza, Lupercio",,
1050,"Salinas
Lasseube",Vicentini,1924-01-23,939,"Salinas, Luis",,,146,"Lasseube, Enrique",,
